Convinced,Convinced_Rating,Convinced_Statement,ConvincedR,Convinced_RatingR
-2,2,I am unconvinced whether or not,2,3
1,6,I am partly convinced that,-1,-1
0,3,I am examining whether or not,-0,2
-1,7,I am reasonably unconvinced whether,1,-2
4,7,I am absolutely convinced that,-4,-2
1,6,I am partly convinced that,-1,-1
0,3,I am examining whether or not,-0,2
2,8,I am reasonably convinced that,-2,-3
-2,1,I am unconvinced whether or not,2,4
3,8,I am convinced that,-3,-3
-1,6,I am reasonably unconvinced whether,1,-1
4,8,I am absolutely convinced that,-4,-3
1,2,I am partly convinced that,-1,3
2,4,I am reasonably convinced that,-2,1
0,1,I am examining whether or not,-0,4
4,5,I am absolutely convinced that,-4,-0
-1,6,I am reasonably unconvinced whether,1,-1
-2,8,I am unconvinced whether or not,2,-3
3,7,I am convinced that,-3,-2
3,6,I am convinced that,-3,-1
0,4,I am examining whether or not,-0,1
-1,6,I am reasonably unconvinced whether,1,-1
-2,3,I am unconvinced whether or not,2,2
1,4,I am partly convinced that,-1,1
-1,2,I am reasonably unconvinced whether,1,3
4,9,I am absolutely convinced that,-4,-4
-1,4,I am reasonably unconvinced whether,1,1
-2,6,I am unconvinced whether or not,2,-1
4,9,I am absolutely convinced that,-4,-4
1,6,I am partly convinced that,-1,-1
2,7,I am reasonably convinced that,-2,-2
4,9,I am absolutely convinced that,-4,-4
-1,6,I am reasonably unconvinced whether,1,-1
3,8,I am convinced that,-3,-3
3,7,I am convinced that,-3,-2
2,7,I am reasonably convinced that,-2,-2
0,5,I am examining whether or not,-0,-0
1,4,I am partly convinced that,-1,1
0,2,I am examining whether or not,-0,3
3,4,I am convinced that,-3,1
-2,2,I am unconvinced whether or not,2,3
2,7,I am reasonably convinced that,-2,-2
2,2,I am reasonably convinced that,-2,3
2,7,I am reasonably convinced that,-2,-2
4,9,I am absolutely convinced that,-4,-4
-2,2,I am unconvinced whether or not,2,3
0,5,I am examining whether or not,-0,-0
-2,3,I am unconvinced whether or not,2,2
1,4,I am partly convinced that,-1,1
3,7,I am convinced that,-3,-2
4,9,I am absolutely convinced that,-4,-4
0,4,I am examining whether or not,-0,1
-1,4,I am reasonably unconvinced whether,1,1
-2,4,I am unconvinced whether or not,2,1
2,6,I am reasonably convinced that,-2,-1
4,9,I am absolutely convinced that,-4,-4
0,4,I am examining whether or not,-0,1
3,8,I am convinced that,-3,-3
1,2,I am partly convinced that,-1,3
4,8,I am absolutely convinced that,-4,-3
